business_name,review_count,categories,rating,address,reservation_available,accept_pickup,price_range,url
Hanover East Paces,40,Apartments,4.5,"400 Pharr Rd NE Atlanta, GA 30305",False,False,0,https://www.yelp.com/biz/hanover-east-paces-atlanta?osq=Apartments
Atlantic House,10,Apartments,5.0,"1163 West Peachtree NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/atlantic-house-atlanta?osq=Apartments
Broadstone Midtown,17,Apartments,4.0,"811 Juniper St Atlanta, GA 30308",False,False,0,https://www.yelp.com/biz/broadstone-midtown-atlanta?osq=Apartments
Windsor At Midtown,7,Apartments,4.5,"222 14th St NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/windsor-at-midtown-atlanta?osq=Apartments
464 Bishop Apartments,6,Apartments,5.0,"464 Bishop St NW Atlanta, GA 30318",False,False,0,https://www.yelp.com/biz/464-bishop-apartments-atlanta?osq=Apartments
Mezzo Apartment Homes,11,Apartments,4.0,"2171 Peachtree Rd NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/mezzo-apartment-homes-atlanta?osq=Apartments
Hanover Buckhead Village,15,Apartments,4.0,"3150 Roswell Rd NW Atlanta, GA 30305",False,False,0,https://www.yelp.com/biz/hanover-buckhead-village-atlanta?osq=Apartments
Icon Midtown Atlanta Apartments,2,Apartments,5.0,"22 14th St NW Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/icon-midtown-atlanta-apartments-atlanta-3?osq=Apartments
AMLI Ponce Park,30,Apartments,4.0,"641 North Ave NE Atlanta, GA 30308",False,False,0,https://www.yelp.com/biz/amli-ponce-park-atlanta?osq=Apartments
1016 Lofts,16,Apartments,4.0,"1016 Howell Mill Rd Atlanta, GA 30318",False,False,0,https://www.yelp.com/biz/1016-lofts-atlanta-3?osq=Apartments
Atlantic House,10,Apartments,5.0,"1163 West Peachtree NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/atlantic-house-atlanta?osq=Apartments
Broadstone Midtown,17,Apartments,4.0,"811 Juniper St Atlanta, GA 30308",False,False,0,https://www.yelp.com/biz/broadstone-midtown-atlanta?osq=Apartments
Windsor At Midtown,7,Apartments,4.5,"222 14th St NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/windsor-at-midtown-atlanta?osq=Apartments
464 Bishop Apartments,6,Apartments,5.0,"464 Bishop St NW Atlanta, GA 30318",False,False,0,https://www.yelp.com/biz/464-bishop-apartments-atlanta?osq=Apartments
Mezzo Apartment Homes,11,Apartments,4.0,"2171 Peachtree Rd NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/mezzo-apartment-homes-atlanta?osq=Apartments
Hanover Buckhead Village,15,Apartments,4.0,"3150 Roswell Rd NW Atlanta, GA 30305",False,False,0,https://www.yelp.com/biz/hanover-buckhead-village-atlanta?osq=Apartments
Icon Midtown Atlanta Apartments,2,Apartments,5.0,"22 14th St NW Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/icon-midtown-atlanta-apartments-atlanta-3?osq=Apartments
AMLI Ponce Park,30,Apartments,4.0,"641 North Ave NE Atlanta, GA 30308",False,False,0,https://www.yelp.com/biz/amli-ponce-park-atlanta?osq=Apartments
1016 Lofts,16,Apartments,4.0,"1016 Howell Mill Rd Atlanta, GA 30318",False,False,0,https://www.yelp.com/biz/1016-lofts-atlanta-3?osq=Apartments
Highland Walk,21,Apartments,4.0,"701 Highland Ave Atlanta, GA 30312",False,False,0,https://www.yelp.com/biz/highland-walk-atlanta?osq=Apartments
Broadstone Midtown,17,Apartments,4.0,"811 Juniper St Atlanta, GA 30308",False,False,0,https://www.yelp.com/biz/broadstone-midtown-atlanta?osq=Apartments
Windsor At Midtown,7,Apartments,4.5,"222 14th St NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/windsor-at-midtown-atlanta?osq=Apartments
464 Bishop Apartments,6,Apartments,5.0,"464 Bishop St NW Atlanta, GA 30318",False,False,0,https://www.yelp.com/biz/464-bishop-apartments-atlanta?osq=Apartments
Mezzo Apartment Homes,11,Apartments,4.0,"2171 Peachtree Rd NE Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/mezzo-apartment-homes-atlanta?osq=Apartments
Hanover Buckhead Village,15,Apartments,4.0,"3150 Roswell Rd NW Atlanta, GA 30305",False,False,0,https://www.yelp.com/biz/hanover-buckhead-village-atlanta?osq=Apartments
Icon Midtown Atlanta Apartments,2,Apartments,5.0,"22 14th St NW Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/icon-midtown-atlanta-apartments-atlanta-3?osq=Apartments
AMLI Ponce Park,30,Apartments,4.0,"641 North Ave NE Atlanta, GA 30308",False,False,0,https://www.yelp.com/biz/amli-ponce-park-atlanta?osq=Apartments
1016 Lofts,16,Apartments,4.0,"1016 Howell Mill Rd Atlanta, GA 30318",False,False,0,https://www.yelp.com/biz/1016-lofts-atlanta-3?osq=Apartments
Highland Walk,21,Apartments,4.0,"701 Highland Ave Atlanta, GA 30312",False,False,0,https://www.yelp.com/biz/highland-walk-atlanta?osq=Apartments
Marquis at Buckhead,18,Apartments,4.0,"214 Colonial Homes Dr NW Atlanta, GA 30309",False,False,0,https://www.yelp.com/biz/marquis-at-buckhead-atlanta?osq=Apartments
